lab,url,file,pages,bytes,sha256,fetched,status
anthropic,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,cards/anthropic/claude-3-model-card-october-addendum.pdf,14,2598697,5425dde49b649916,2026-09-14,ok
anthropic,https://metr.org/evaluations/claude-3-5-sonnet-report/,cards/anthropic/metr-claude-3-5-sonnet-report.html,,93341,86b06d5d31482bbd,2026-09-14,ok
anthropic,https://metr.org/evaluations/claude-3-7-report/,cards/anthropic/metr-claude-3-7-report.html,,79074,ff8a7cb62716366b,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/0339e6a7c5c7b87f5c07798616dc32c215d14235/Claude%20Fable%205.1%20&%20Claude%20Mythos%205.1%20System%20Card.pdf,cards/anthropic/claude-fable-5-1-claude-mythos-5-1-system-card.pdf,212,16397488,b0d59edc7a60eef3,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/037f06850df7fbe871e206dad004c3db5fd50340/Claude%20Opus%204.7%20System%20Card.pdf,cards/anthropic/claude-opus-4-7-system-card.pdf,232,14231870,a7729a0e5eb61dc6,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/0f0c97ad20d8005706296bd92aa1c27c6b2f4f61/Claude%20Opus%204.8%20System%20Card.pdf,cards/anthropic/claude-opus-4-8-system-card.pdf,246,20587425,0df5d061b6688c2d,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/283ef97c476cf442c91d9a37d5b214242a55bb92/Claude%20Sonnet%205%20System%20Card.pdf,cards/anthropic/claude-sonnet-5-system-card.pdf,146,10786341,33573adb9f1871b9,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/57a52ea7d8f0e54e8a542e908266086df425cdf5/Claude%20Fable%205%20&%20Claude%20Mythos%205%20System%20Card.pdf,cards/anthropic/claude-fable-5-claude-mythos-5-system-card.pdf,317,26960957,f95d413845ad8624,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/6a5fa276ac68b9aeb0c8b6af5fa36326e0e166dd/Claude%20Opus%204.6%20System%20Card.pdf,cards/anthropic/claude-opus-4-6-system-card.pdf,213,13208951,4db67c6b6aea0a87,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/6d8a8055020700718b0c49369f60816ba2a7c285/Claude%204%20System%20Card.pdf,cards/anthropic/claude-4-system-card.pdf,124,4976826,5e3e63370473db1f,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/7624816413e9b4d2e3ba620c5a5e091b98b190a5/Claude%20Mythos%20Preview%20System%20Card.pdf,cards/anthropic/claude-mythos-preview-system-card.pdf,245,23762465,55f6ed1c0735ec1b,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970/Claude%20Haiku%204.5%20System%20Card.pdf,cards/anthropic/claude-haiku-4-5-system-card.pdf,39,1765218,1b9ae5f4f66a65c1,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/963373e433e489a87a10c823c52a0a013e9172dd/Claude%20Sonnet%204.5%20System%20Card.pdf,cards/anthropic/claude-sonnet-4-5-system-card.pdf,149,12756307,d5d1ce28fea101ae,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/9fa30625273bafdf5af82c93719d7ca606485a16/Claude%204.1%20System%20Card.pdf,cards/anthropic/claude-4-1-system-card.pdf,23,1017533,b2b5beba3ed386a5,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e/claude-3-7-sonnet-system-card.pdf,cards/anthropic/claude-3-7-sonnet-system-card.pdf,43,5974368,82947a46fc2d1b9a,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/bbd8ef16d70b7a1665f14f306ee88b53f686aa75/Claude%20Sonnet%204.6%20System%20Card.pdf,cards/anthropic/claude-sonnet-4-6-system-card.pdf,135,8503340,672339ab327e8798,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47/Claude%20Opus%204.5%20System%20Card.pdf,cards/anthropic/claude-opus-4-5-system-card.pdf,153,11499930,33be92efcb58f901,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/ceaf5c7ff2783855203fde8208ec311252dced5b/Claude%20Opus%205%20System%20Card.pdf,cards/anthropic/claude-opus-5-system-card.pdf,198,16281258,0950dae1ba6b341e,2026-09-14,ok
anthropic,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,cards/anthropic/model-card-claude-3-addendum.pdf,8,406339,ac396c7f155dcbfb,2026-09-14,ok
anthropic,https://www.anthropic.com/news/claude-3-7-sonnet,cards/anthropic/anthropic-claude-3-7-sonnet.html,,184187,4c7ef3fd2dc34b03,2026-09-14,ok
anthropic,https://www.anthropic.com/news/claude-4,cards/anthropic/anthropic-claude-4.html,,179191,42a0ae3901cdb6e0,2026-09-14,ok
anthropic,https://www.anthropic.com/news/claude-haiku-4-5,cards/anthropic/anthropic-claude-haiku-4-5.html,,214068,a540e94cafc8ea5a,2026-09-14,ok
anthropic,https://www.anthropic.com/news/claude-opus-4-1,cards/anthropic/anthropic-claude-opus-4-1.html,,153102,acef8c4cb3b16605,2026-09-14,ok
anthropic,https://www.anthropic.com/news/claude-sonnet-4-5,cards/anthropic/anthropic-claude-sonnet-4-5.html,,283117,1cd0fe5a70f59ab5,2026-09-14,ok
gdm,https://arxiv.org/abs/2507.06261,cards/gdm/arxiv-2507-06261.html,,731718,bf9191b7d76ac9e3,2026-09-14,ok
gdm,https://deepmind.google/models/model-cards/gemini-3-1-pro/,cards/gdm/deepmind-gemini-3-1-pro.html,,160652,fe194d910bc64271,2026-09-14,ok
gdm,https://deepmind.google/models/model-cards/gemini-3-5-flash/,cards/gdm/deepmind-gemini-3-5-flash.html,,153914,0f629b675520d44d,2026-09-14,ok
gdm,https://deepmind.google/models/model-cards/gemini-3-6-flash/,cards/gdm/deepmind-gemini-3-6-flash.html,,154640,c2e25fec9cc33785,2026-09-14,ok
gdm,https://deepmind.google/models/model-cards/gemini-3-7-flash/,cards/gdm/deepmind-gemini-3-7-flash.html,,159258,b8051a19b7578abd,2026-09-14,ok
gdm,https://deepmind.google/models/model-cards/gemini-3-8-flash/,cards/gdm/deepmind-gemini-3-8-flash.html,,155540,1c79de893104f601,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-0-Flash-Model-Card.pdf,cards/gdm/gemini-2-0-flash-model-card.pdf,7,198404,b1575ae4e9dcbc6a,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Deep-Think-Model-Card.pdf,cards/gdm/gemini-2-5-deep-think-model-card.pdf,20,1420669,4f38096e3dffa489,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,cards/gdm/gemini-2-5-pro-model-card.pdf,21,1238466,247f1ba6fc665333,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-1-Pro-Model-Card.pdf,cards/gdm/gemini-3-1-pro-model-card.pdf,9,875842,70bcda79a248255d,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-5-Flash-Model-Card.pdf,cards/gdm/gemini-3-5-flash-model-card.pdf,7,556751,eed86d38a5f69732,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-6-Flash-Model-Card.pdf,cards/gdm/gemini-3-6-flash-model-card.pdf,7,325810,2c54f031b6fdee88,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-7-Flash-Model-Card.pdf,cards/gdm/gemini-3-7-flash-model-card.pdf,9,386307,6d7f1347e7f55d44,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-8-Flash-Model-Card.pdf,cards/gdm/gemini-3-8-flash-model-card.pdf,8,734978,fd9b9494c8cb0da6,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Flash-Model-Card.pdf,cards/gdm/gemini-3-flash-model-card.pdf,6,380481,b2800104a47322d7,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf,cards/gdm/gemini-3-pro-model-card.pdf,10,834704,9a1734bc3aa31069,2026-09-14,ok
gdm,https://storage.googleapis.com/deepmind-media/gemini/gemini_3-7_flash_fsf_report.pdf,cards/gdm/gemini-3-7-flash-fsf-report.pdf,41,1782007,f0eec853b7371aac,2026-09-14,ok
